,name,description,short_name,id
416,Demanda programada PHF7 Consumo de Servicios Auxiliares,<p>Energía correspondiente a la programación establecida por el OS con posterioridad a cada una de las sucesivas sesiones del mercado intradiario como resultado de la agregación de todas las transacciones firmes formalizadas para cada periodo de programación como consecuencia del programa diario viable y de la casación del mercado intradiario.</p><p>En concreto este indicador muestra la energía programada para la demanda de los  Consumo de Servicios Auxiliares.</p><p><b>Publicación:</b> en torno a las 05:00 horas con la información de los 4 últimos periodos del día D-1.</p>,Consumo de Servicios Auxiliares,417
417,Demanda programada PHF7 Corrección eólica,"<p>Energía correspondiente a la programación establecida por el OS con posterioridad a cada una de las sucesivas sesiones del mercado intradiario como resultado de la agregación de todas las transacciones firmes formalizadas para cada periodo de programación como consecuencia del programa diario viable y de la casación del mercado intradiario.</p><p>En concreto este indicador muestra la energía programada para la demanda de los  Corrección eólica, que es el saldo entre el generación programada de las unidades eólicas y la telemedida de estas en tiempo real. Solo tiene valores para el P48.</p><p><b>Publicación:</b> en torno a las 05:00 horas con la información de los 4 últimos periodos del día D-1.</p>",Corrección eólica,418
418,Demanda programada PHF7 Corrección solar,<p>Energía correspondiente a la programación establecida por el OS con posterioridad a cada una de las sucesivas sesiones del mercado intradiario como resultado de la agregación de todas las transacciones firmes formalizadas para cada periodo de programación como consecuencia del programa diario viable y de la casación del mercado intradiario.</p><p>En concreto este indicador se refiere al saldo entre el generación programada de las unidades solares fotovoltaicas y la telemedida de estas en tiempo real. Solo tiene valores para el P48.</p><p><b>Publicación:</b> en torno a las 05:00 horas con la información de los 4 últimos periodos del día D-1.)</p>,Corrección solar,419
419,Demanda programada PHF7 Corrección REE,"<p>Energía correspondiente a la programación establecida por el OS con posterioridad a cada una de las sucesivas sesiones del mercado intradiario como resultado de la agregación de todas las transacciones firmes formalizadas para cada periodo de programación como consecuencia del programa diario viable y de la casación del mercado intradiario.</p><p>En concreto este indicador  es la corrección de la demanda en tiempo real, solo tiene valores para el P48.</p><p><b>Publicación:</b> en torno a las 05:00 horas con la información de los 4 últimos periodos del día D-1.)</p>",Corrección REE,420
420,Programa bilateral PBF Hidráulica UGH,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hidráulica UGH.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Hidráulica UGH,421
421,Programa bilateral PBF Hidráulica no UGH,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hidráulica no UGH.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Hidráulica no UGH,422
422,Programa bilateral PBF Turbinación bombeo,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Turbinación bombeo.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Turbinación bombeo,423
423,Programa bilateral PBF Nuclear,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Nuclear.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Nuclear,424
424,Programa bilateral PBF Hulla antracita Anexo II RD 134/2010,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla antracita Anexo II RD 134/2010.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Hulla antracita Anexo II RD 134/2010,425
425,Programa bilateral PBF Hulla sub-bituminosa Anexo II RD 134/2010,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla sub-bituminosa Anexo II RD 134/2010.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Hulla sub-bituminosa Anexo II RD 134/2010,426
426,Programa bilateral PBF Hulla antracita,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla antracita.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Hulla antracita,427
427,Programa bilateral PBF Hulla sub-bituminosa,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla sub-bituminosa.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Hulla sub-bituminosa,428
428,Programa bilateral PBF Ciclo combinado,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Ciclo combinado.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Ciclo combinado,429
429,Programa bilateral PBF Fuel,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Fuel.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Fuel,430
430,Programa bilateral PBF Gas Natural,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Gas Natural.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Gas Natural,431
431,Programa bilateral PBF Eólica terrestre,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Eólica terrestre.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Eólica terrestre,432
432,Programa bilateral PBF Eólica marina,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Eólica marina.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Eólica marina,433
433,Programa bilateral PBF Solar fotovoltaica,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Solar fotovoltaica.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Solar fotovoltaica,434
434,Programa bilateral PBF Solar térmica,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Solar térmica.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Solar térmica,435
435,Programa bilateral PBF Océano y geotérmica,"<p>Es el programa de energ&iacute;a diario, con desglose horario, de las diferentes Unidades de Programaci&oacute;n correspondientes a ventas y adquisiciones de energ&iacute;a en el sistema el&eacute;ctrico peninsular espa&ntilde;ol.</p>

<p>En concreto este indicador se refiere a las unidades de programaci&oacute;n con tipo de producci&oacute;n Oc&eacute;ano&nbsp;y geot&eacute;rmica.</p>

<p>Este programa es establecido por el OS a partir de la casaci&oacute;n del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programaci&oacute;n que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programaci&oacute;n, incluyendo las correspondientes a la ejecuci&oacute;n de contratos bilaterales con entrega f&iacute;sica de los cuales se ha confirmado la ejecuci&oacute;n.</p>

<p><b>Publicaci&oacute;n:</b> diariamente a partir de las 13:45 horas con la informaci&oacute;n del d&iacute;a D+1.</p>
",Océano y geotérmica,436
436,Programa bilateral PBF Gas Natural Cogeneración,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Gas Natural Cogeneración.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Gas Natural Cogeneración,437
437,Programa bilateral PBF Derivados del petróleo ó carbón,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Derivados del petróleo ó carbón.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Derivados del petróleo ó carbón,438
438,Programa bilateral PBF Subproductos minería,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Subproductos minería.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Subproductos minería,439
439,Programa bilateral PBF Energía residual,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Energía residual.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Energía residual,440
440,Programa bilateral PBF Biomasa,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Biomasa.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Biomasa,441
441,Programa bilateral PBF Biogás,"<p>Es el programa de energ&iacute;a diario, con desglose horario, de las diferentes Unidades de Programaci&oacute;n correspondientes a ventas y adquisiciones de energ&iacute;a en el sistema el&eacute;ctrico peninsular espa&ntilde;ol.</p>

<p>En concreto este indicador se refiere a las unidades de programaci&oacute;n con tipo de producci&oacute;n Biog&aacute;s.</p>

<p>Este programa es establecido por el OS a partir de la casaci&oacute;n del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programaci&oacute;n que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programaci&oacute;n, incluyendo las correspondientes a la ejecuci&oacute;n de contratos bilaterales con entrega f&iacute;sica de los cuales se ha confirmado la ejecuci&oacute;n.</p>

<p><b>Publicaci&oacute;n:</b> diariamente a partir de las 13:45 horas con la informaci&oacute;n del d&iacute;a D+1.</p>
",Biogás,442
442,Programa bilateral PBF Residuos domésticos y similares,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Residuos domésticos y similares.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Residuos domésticos y similares,443
443,Programa bilateral PBF Residuos varios,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Residuos varios.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Residuos varios,444
444,Programa bilateral PBF Consumo bombeo,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Consumo bombeo.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Consumo bombeo,445
445,Programa bilateral PBF Importación Francia,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de tipo Importación Francia.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Importación Francia,446
446,Programa bilateral PBF Importación Portugal,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de tipo Importación Portugal.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Importación Portugal,447
447,Programa bilateral PBF Importación Marruecos,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de tipo Importación Marruecos.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Importación Marruecos,448
448,Programa bilateral PBF Importación Andorra,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de tipo Importación Andorra.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Importación Andorra,449
449,Programa bilateral PBF Exportación Francia,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de Exportación Francia.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Exportación Francia,450
450,Programa bilateral PBF Exportación Portugal,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de Exportación Portugal.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Exportación Portugal,451
451,Programa bilateral PBF Exportación Marruecos,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de Exportación Marruecos.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Exportación Marruecos,452
452,Programa bilateral PBF Exportación Andorra,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de Exportación Andorra.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Exportación Andorra,453
453,Programa bilateral PBF Comercialización Mercado Libre ventas,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de tipo  Comercialización Mercado Libre ventas.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Comercialización Mercado Libre ventas,454
454,Programa bilateral PBF Genéricas ventas,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de tipo Genéricas ventas.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Genéricas ventas,455
455,Programa bilateral PBF Comercialización Mercado Libre bajar,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de tipo  Comercialización Mercado Libre bajar.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Comercialización Mercado Libre bajar,456
456,Programa bilateral PBF Comercialización Último Recurso,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de tipo Comercialización Último Recurso.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Comercialización Último Recurso,457
457,Programa bilateral PBF Consumo Directo en Mercado,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. </p><p>En concreto este indicador se refiere a las unidades de programación de tipo Consumo Directo en Mercado.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Consumo Directo en Mercado,458
